Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,69,27,23.5,3.6,8.2,.440,0.7,2.0,.358,2.9,6.2,.467,.484,1.0,1.8,.587,2.1,4.6,6.7,1.1,0.5,0.6,1.1,2.1,8.9
2,Steven Adams\adamsst01,C,28,MEM,73,72,26.4,2.8,5.2,.548,0.0,0.0,.000,2.8,5.1,.549,.548,1.5,2.6,.554,4.7,5.3,10.0,3.3,0.9,0.8,1.5,2.0,7.1
3,Bam Adebayo\adebaba01,C,24,MIA,54,54,32.6,7.2,13.1,.555,0.0,0.1,.000,7.2,12.9,.559,.555,4.4,5.9,.748,2.5,7.7,10.2,3.4,1.4,0.8,2.7,3.1,18.9
4,Santi Aldama\aldamsa01,PF,21,MEM,30,0,10.6,1.4,3.6,.394,0.1,1.4,.098,1.3,2.3,.574,.413,0.5,0.8,.583,0.8,1.6,2.4,0.5,0.1,0.3,0.4,1.1,3.5
5,LaMarcus Aldridge\aldrila01,C,36,BRK,45,12,22.8,5.6,10.1,.554,0.3,1.0,.311,5.3,9.1,.580,.569,2.0,2.3,.873,1.6,4.0,5.6,0.9,0.3,1.0,0.9,1.6,13.5
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,63,21,23.0,4.0,10.7,.370,1.6,5.3,.307,2.3,5.4,.431,.446,1.3,1.7,.741,0.6,2.3,2.9,2.4,0.7,0.4,1.5,1.6,10.8
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,13,2,9.9,0.9,3.2,.293,0.5,2.1,.259,0.4,1.1,.357,.378,0.8,0.8,.909,0.1,1.5,1.5,1.0,0.3,0.3,0.6,1.0,3.2
7,Grayson Allen\allengr01,SG,26,MIL,65,61,27.4,3.9,8.7,.446,2.4,5.9,.409,1.4,2.7,.525,.586,0.9,1.1,.857,0.5,2.9,3.4,1.5,0.7,0.2,0.7,1.5,11.1
8,Jarrett Allen\allenja01,C,23,CLE,56,56,32.3,6.6,9.7,.677,0.0,0.2,.100,6.6,9.6,.688,.678,2.9,4.2,.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
9,Jose Alvarado\alvarjo01,PG,23,NOP,50,1,15.0,2.3,5.3,.443,0.6,2.0,.307,1.7,3.3,.528,.502,0.6,0.9,.711,0.5,1.4,1.8,2.7,1.3,0.1,0.7,1.4,5.9
10,Justin Anderson\anderju01,SF,28,TOT,15,6,20.7,2.4,6.2,.387,1.0,3.9,.259,1.4,2.3,.600,.468,1.0,1.3,.789,0.3,2.8,3.1,2.1,0.5,0.3,0.5,1.5,6.8
10,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
10,Justin Anderson\anderju01,SF,28,IND,12,6,22.0,2.7,7.1,.376,1.1,4.3,.250,1.6,2.8,.576,.453,1.0,1.3,.800,0.3,3.0,3.3,2.1,0.6,0.4,0.5,1.5,7.4
11,Kyle Anderson\anderky01,PF,28,MEM,65,10,21.5,3.0,6.8,.439,0.5,1.6,.317,2.5,5.2,.475,.475,0.9,1.5,.629,1.0,4.4,5.4,2.6,1.1,0.6,1.0,1.5,7.4
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,64,64,33.0,10.3,18.7,.554,1.1,3.6,.296,9.3,15.0,.616,.583,8.3,11.5,.721,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,30.1
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,45,5,9.4,1.3,2.4,.523,0.0,0.2,.091,1.2,2.2,.571,.528,0.5,0.8,.583,0.9,1.2,2.1,0.4,0.3,0.2,0.5,1.4,3.0
14,Carmelo Anthony\anthoca01,PF,37,LAL,68,3,26.0,4.6,10.5,.443,2.2,5.8,.376,2.5,4.7,.525,.546,1.9,2.3,.828,0.9,3.2,4.1,1.0,0.7,0.8,0.9,2.4,13.4
15,Cole Anthony\anthoco01,PG,21,ORL,65,65,31.7,5.5,14.0,.391,2.0,6.0,.338,3.5,8.0,.432,.464,3.3,3.9,.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3
16,OG Anunoby\anunoog01,SF,24,TOR,47,47,36.2,6.5,14.6,.445,2.4,6.6,.369,4.1,8.0,.508,.528,1.9,2.5,.750,1.5,3.9,5.4,2.6,1.5,0.5,1.6,2.8,17.3
17,Ryan Arcidiacono\arcidry01,PG,27,NYK,8,0,5.0,0.5,0.8,.667,0.4,0.5,.750,0.1,0.3,.500,.917,0.0,0.0,,0.0,0.5,0.5,0.1,0.0,0.0,0.1,0.0,1.4
18,Trevor Ariza\arizatr01,SF,36,LAL,24,11,19.3,1.4,4.1,.333,0.8,3.1,.270,0.5,1.0,.520,.434,0.4,0.8,.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0
19,D.J. Augustin\augusdj01,PG,34,TOT,51,2,15.8,1.8,4.1,.444,1.3,3.0,.441,0.5,1.1,.455,.606,0.7,0.8,.872,0.2,1.1,1.3,1.9,0.3,0.0,1.0,0.6,5.6
19,D.J. Augustin\augusdj01,PG,34,HOU,34,2,15.0,1.6,4.0,.404,1.1,2.8,.406,0.5,1.2,.400,.548,1.0,1.1,.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4
19,D.J. Augustin\augusdj01,PG,34,LAL,17,0,17.3,2.2,4.2,.521,1.6,3.3,.500,0.5,0.9,.600,.718,0.1,0.1,1.000,0.2,1.2,1.4,1.4,0.3,0.0,0.5,0.9,6.1
20,Deni Avdija\avdijde01,SF,21,WAS,78,6,23.8,2.9,6.8,.432,1.0,3.0,.326,1.9,3.8,.517,.505,1.3,1.7,.765,0.6,4.5,5.1,1.9,0.7,0.5,1.0,2.3,8.2
21,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
22,Deandre Ayton\aytonde01,C,23,PHO,56,56,29.5,7.6,11.9,.636,0.1,0.3,.353,7.4,11.6,.644,.641,1.9,2.5,.743,2.5,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.1
23,Udoka Azubuike\azubuud01,C,22,UTA,17,6,11.5,2.2,2.9,.755,0.0,0.0,,2.2,2.9,.755,.755,0.4,0.6,.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7
24,Marvin Bagley III\baglema01,PF,22,TOT,48,25,23.9,4.7,9.3,.504,0.5,2.0,.237,4.2,7.3,.579,.530,1.4,2.1,.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3
24,Marvin Bagley III\baglema01,PF,22,SAC,30,17,21.9,3.8,8.2,.463,0.5,2.1,.242,3.3,6.1,.538,.494,1.2,1.6,.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
24,Marvin Bagley III\baglema01,PF,22,DET,18,8,27.2,6.2,11.1,.555,0.4,1.9,.229,5.7,9.2,.624,.575,1.8,3.0,.593,2.1,4.7,6.8,1.1,0.7,0.4,1.0,2.4,14.6
25,LaMelo Ball\ballla01,PG,20,CHO,71,71,32.3,7.1,16.7,.425,2.8,7.5,.379,4.3,9.3,.462,.510,2.9,3.3,.869,1.5,5.2,6.7,7.5,1.6,0.4,3.2,3.2,19.9
26,Lonzo Ball\balllo01,PG,24,CHI,35,35,34.6,4.6,10.9,.423,3.1,7.4,.423,1.5,3.5,.423,.567,0.6,0.8,.750,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
27,Mo Bamba\bambamo01,C,23,ORL,68,66,25.9,4.1,8.7,.475,1.4,3.9,.370,2.7,4.8,.559,.558,0.8,1.0,.803,2.1,6.0,8.1,1.2,0.6,1.6,1.1,2.6,10.5
28,Desmond Bane\banede01,SF,23,MEM,73,73,29.9,6.7,14.5,.460,3.0,7.0,.430,3.7,7.6,.488,.564,1.8,2.0,.898,0.6,3.8,4.4,2.8,1.2,0.4,1.5,2.5,18.2
29,Dalano Banton\bantoda01,SF,22,TOR,63,1,11.0,1.3,3.2,.411,0.2,0.8,.255,1.1,2.4,.464,.443,0.4,0.7,.595,0.6,1.3,2.0,1.6,0.4,0.2,0.8,1.1,3.2
30,Cat Barber\barbeca01,PG,27,ATL,3,0,4.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
31,Harrison Barnes\barneha02,PF,29,SAC,74,74,34.0,5.2,11.1,.470,1.9,4.8,.401,3.3,6.3,.522,.556,4.6,5.5,.828,1.1,4.6,5.7,2.5,0.7,0.2,1.6,1.3,16.9
32,Scottie Barnes\barnesc01,PF,20,TOR,70,70,35.5,6.2,12.7,.490,0.8,2.6,.301,5.4,10.1,.540,.521,2.2,2.9,.738,2.6,4.9,7.5,3.5,1.1,0.8,1.9,2.6,15.4
33,RJ Barrett\barrerj01,SF,21,NYK,68,68,34.7,7.0,17.0,.410,2.0,5.8,.346,5.0,11.2,.442,.468,4.1,5.7,.721,1.0,4.9,5.9,2.9,0.6,0.2,2.2,2.0,20.1
34,Will Barton\bartowi01,SG,31,DEN,69,69,32.0,5.6,12.7,.440,2.2,6.0,.365,3.4,6.6,.508,.527,1.4,1.8,.797,0.6,4.2,4.8,3.9,0.8,0.4,1.8,1.6,14.8
35,Paris Bass\basspa01,SF,26,PHO,2,0,3.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,1.0,1.0,1.000,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0
36,Charles Bassey\bassech01,PF,21,PHI,23,0,7.3,1.3,2.0,.638,0.0,0.2,.000,1.3,1.9,.698,.638,0.4,0.5,.750,1.0,1.7,2.7,0.3,0.2,0.7,0.3,1.4,3.0
37,Keita Bates-Diop\bateske01,SF,26,SAS,55,13,16.0,2.2,4.2,.511,0.3,0.9,.333,1.9,3.3,.560,.547,0.7,1.0,.732,1.0,2.9,3.9,0.7,0.5,0.3,0.7,1.0,5.4
38,Nicolas Batum\batumni01,PF,33,LAC,57,52,24.8,3.1,6.7,.461,1.9,4.7,.398,1.2,2.0,.605,.600,0.4,0.6,.667,0.5,3.8,4.3,1.7,1.0,0.7,0.7,1.4,8.4
39,Kent Bazemore\bazemke01,SF,32,LAL,38,14,14.0,1.2,3.6,.328,0.8,2.1,.367,0.4,1.5,.276,.434,0.3,0.4,.765,0.3,1.4,1.8,0.9,0.7,0.2,0.6,1.8,3.5
40,Darius Bazley\bazleda01,PF,21,OKC,69,53,27.9,4.0,9.4,.422,1.2,3.9,.297,2.8,5.5,.511,.484,1.7,2.5,.688,1.0,5.3,6.3,1.4,0.8,1.0,1.3,1.0,10.8
41,Bradley Beal\bealbr01,SG,28,WAS,40,40,36.0,8.7,19.3,.451,1.6,5.3,.300,7.1,14.0,.508,.492,4.2,5.1,.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
42,Malik Beasley\beaslma01,SG,25,MIN,76,15,25.0,4.2,10.8,.392,3.0,8.1,.377,1.2,2.7,.435,.533,0.6,0.8,.810,0.3,2.6,2.9,1.5,0.5,0.2,0.6,1.1,12.1
43,Jordan Bell\belljo01,C,27,CHI,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
44,DeAndre' Bembry\bembrde01,SF,27,TOT,56,20,18.3,2.2,3.9,.561,0.3,0.6,.417,1.9,3.3,.589,.595,0.4,0.6,.600,0.8,2.2,2.9,1.2,0.9,0.4,0.6,2.0,5.1
44,DeAndre' Bembry\bembrde01,SF,27,BRK,48,20,19.8,2.5,4.4,.568,0.3,0.8,.417,2.2,3.7,.599,.603,0.4,0.7,.600,0.8,2.4,3.2,1.3,1.0,0.5,0.6,2.2,5.8
44,DeAndre' Bembry\bembrde01,SF,27,MIL,8,0,9.6,0.4,1.0,.375,0.0,0.0,,0.4,1.0,.375,.375,0.0,0.0,,0.5,0.9,1.4,0.8,0.3,0.0,0.1,1.1,0.8
45,Dāvis Bertāns\bertada01,PF,29,TOT,53,0,14.3,1.7,4.9,.350,1.3,4.1,.321,0.4,0.8,.500,.485,0.7,0.8,.900,0.2,1.8,2.0,0.4,0.3,0.2,0.4,1.5,5.4
45,Dāvis Bertāns\bertada01,PF,29,WAS,34,0,14.7,1.8,5.0,.351,1.4,4.2,.319,0.4,0.8,.519,.485,0.8,0.9,.933,0.2,1.6,1.8,0.5,0.3,0.2,0.4,1.6,5.7
45,Dāvis Bertāns\bertada01,PF,29,DAL,19,0,13.6,1.6,4.7,.348,1.3,3.9,.324,0.4,0.8,.467,.483,0.4,0.5,.800,0.2,2.2,2.4,0.4,0.2,0.3,0.3,1.4,4.9
46,Patrick Beverley\beverpa01,PG,33,MIN,56,52,25.6,3.1,7.6,.407,1.5,4.2,.347,1.6,3.4,.481,.504,1.6,2.3,.724,1.1,3.1,4.2,4.6,1.2,0.9,1.3,3.0,9.3
47,Saddiq Bey\beysa01,SF,22,DET,79,79,33.2,5.6,13.9,.400,2.6,7.5,.352,2.9,6.4,.457,.495,2.5,3.1,.824,1.3,4.2,5.5,2.8,0.9,0.2,1.2,1.6,16.3
48,Khem Birch\birchkh01,C,29,TOR,51,24,17.8,1.7,3.6,.478,0.0,0.3,.000,1.7,3.4,.515,.478,1.0,1.4,.743,2.2,2.1,4.3,1.0,0.5,0.5,0.5,1.9,4.5
49,Goga Bitadze\bitadgo01,C,22,IND,50,16,14.6,2.6,5.0,.520,0.5,1.6,.288,2.2,3.4,.628,.565,1.3,1.9,.681,1.6,2.0,3.5,1.1,0.4,0.8,0.9,2.1,7.0
50,Bismack Biyombo\biyombi01,C,29,PHO,33,3,13.5,2.2,3.8,.587,0.0,0.0,,2.2,3.8,.587,.587,1.0,2.0,.515,1.8,2.6,4.4,0.6,0.3,0.7,0.7,1.9,5.5
51,Nemanja Bjelica\bjeline01,C,33,GSW,68,0,16.0,2.2,4.8,.460,0.8,2.1,.359,1.5,2.7,.541,.540,0.8,1.1,.711,0.8,3.3,4.1,2.2,0.5,0.4,1.2,1.8,6.0
52,Eric Bledsoe\bledser01,PG,32,LAC,54,29,25.2,3.6,8.7,.421,0.9,3.0,.313,2.7,5.6,.479,.475,1.6,2.2,.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9
53,Keljin Blevins\blevike01,SF,26,POR,27,1,10.8,1.1,3.4,.323,0.7,2.2,.300,0.4,1.2,.364,.419,0.2,0.4,.545,0.6,0.9,1.4,0.6,0.3,0.0,0.5,0.9,3.1
54,Bogdan Bogdanović\bogdabo01,SG,29,ATL,59,27,29.2,5.4,12.4,.432,2.6,7.1,.359,2.8,5.3,.531,.535,1.5,1.8,.858,0.5,3.4,3.8,3.0,1.1,0.2,1.2,2.1,14.8
55,Bojan Bogdanović\bogdabo02,PF,32,UTA,66,66,30.8,6.1,13.4,.456,2.6,6.8,.387,3.5,6.7,.526,.554,3.1,3.6,.858,0.8,3.4,4.2,1.8,0.4,0.0,1.7,1.6,18.0
56,Bol Bol\bolbo01,PF,22,DEN,14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4
57,Leandro Bolmaro\bolmale01,SF,21,MIN,34,2,6.6,0.4,1.3,.289,0.1,0.5,.235,0.3,0.8,.321,.333,0.3,0.3,.818,0.4,0.7,1.2,0.5,0.2,0.0,0.4,0.7,1.1
58,Isaac Bonga\bongais01,SF,22,TOR,15,0,4.6,0.2,0.9,.231,0.1,0.3,.250,0.1,0.6,.222,.269,0.3,0.5,.625,0.3,0.2,0.5,0.3,0.5,0.1,0.1,0.7,0.8
59,Devin Booker\bookede01,SG,25,PHO,66,66,34.5,9.7,20.8,.464,2.7,7.0,.377,7.0,13.8,.508,.528,4.7,5.4,.865,0.7,4.3,5.0,4.9,1.2,0.4,2.4,2.6,26.6
60,Brandon Boston Jr.\bostobr01,SG,20,LAC,50,0,14.4,2.3,6.2,.377,0.7,2.2,.312,1.7,4.0,.413,.432,1.1,1.4,.838,0.3,1.8,2.1,0.9,0.5,0.2,0.6,0.8,6.5
61,Chris Boucher\bouchch01,PF,29,TOR,76,9,20.9,3.3,7.1,.464,0.8,2.8,.288,2.5,4.4,.577,.520,1.8,2.3,.770,2.3,4.0,6.2,0.3,0.6,0.9,0.5,2.2,9.2
62,James Bouknight\bouknja01,SG,21,CHO,28,0,10.6,1.7,4.9,.353,0.6,1.8,.347,1.1,3.1,.356,.415,1.0,1.1,.871,0.8,1.0,1.7,0.8,0.3,0.0,0.5,1.0,5.0
63,Avery Bradley\bradlav01,SG,31,LAL,61,44,22.8,2.4,5.7,.422,1.3,3.4,.391,1.1,2.3,.468,.539,0.3,0.3,.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4
64,Tony Bradley\bradlto01,C,24,CHI,52,7,10.1,1.2,2.1,.577,0.0,0.0,,1.2,2.1,.577,.577,0.3,0.5,.680,1.2,2.2,3.4,0.5,0.2,0.6,0.6,1.1,2.8
65,Ignas Brazdeikis\brazdig01,SF,23,ORL,39,1,11.4,1.6,3.8,.429,0.6,1.8,.333,1.0,2.0,.513,.507,0.4,0.5,.667,0.4,1.0,1.4,0.8,0.2,0.1,0.4,1.1,4.2
66,Mikal Bridges\bridgmi01,SF,25,PHO,78,78,35.5,5.7,10.7,.532,1.5,3.9,.371,4.2,6.7,.627,.601,1.6,1.9,.828,0.9,3.4,4.3,2.3,1.2,0.5,0.8,1.9,14.4
67,Miles Bridges\bridgmi02,PF,23,CHO,76,76,35.8,7.5,15.3,.491,1.9,5.9,.328,5.6,9.4,.591,.553,3.4,4.2,.798,1.2,5.9,7.1,3.8,0.9,0.9,1.9,2.5,20.3
68,Oshae Brissett\brissos01,SF,23,IND,64,22,23.0,3.0,7.3,.409,1.2,3.4,.347,1.8,3.9,.462,.489,1.6,2.3,.698,1.6,3.7,5.3,1.0,0.7,0.5,0.8,1.7,8.8
69,Malcolm Brogdon\brogdma01,PG,29,IND,36,36,33.5,6.8,15.1,.448,1.6,5.2,.312,5.1,9.9,.518,.501,4.0,4.6,.856,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2.0,19.1
70,Armoni Brooks\brookar01,SG-PG,23,TOT,52,9,15.6,1.9,5.4,.344,1.4,4.7,.302,0.5,0.8,.600,.473,0.3,0.4,.842,0.4,1.5,1.9,1.1,0.5,0.2,0.5,1.3,5.4
70,Armoni Brooks\brookar01,SG,23,HOU,41,8,16.8,2.1,6.1,.347,1.6,5.2,.300,0.6,0.9,.605,.474,0.4,0.5,.842,0.3,1.7,2.0,1.2,0.5,0.2,0.6,1.5,6.2
70,Armoni Brooks\brookar01,PG,23,TOR,11,1,11.0,0.9,2.8,.323,0.8,2.6,.310,0.1,0.2,.500,.468,0.0,0.0,,0.6,0.8,1.5,0.9,0.6,0.3,0.3,0.8,2.6
71,Dillon Brooks\brookdi01,SF,26,MEM,30,29,27.8,7.1,16.5,.428,1.4,4.7,.303,5.6,11.8,.479,.472,2.9,3.5,.846,1.0,2.3,3.3,2.7,1.2,0.2,1.6,3.3,18.5
72,Bruce Brown\brownbr01,SF,25,BRK,68,41,24.0,3.5,6.9,.503,0.5,1.2,.381,3.0,5.6,.530,.537,1.3,1.7,.748,1.4,3.3,4.7,1.9,1.1,0.6,0.7,2.4,8.6
73,Charlie Brown Jr.\brownch02,SG,24,TOT,22,2,8.0,0.5,1.8,.256,0.0,0.5,.083,0.4,1.2,.333,.269,0.4,0.5,.900,0.6,0.8,1.5,0.3,0.5,0.2,0.2,0.8,1.4
73,Charlie Brown Jr.\brownch02,SG,24,DAL,3,0,5.0,0.3,1.7,.200,0.0,1.0,.000,0.3,0.7,.500,.200,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.7,0.7
73,Charlie Brown Jr.\brownch02,SG,24,PHI,19,2,8.5,0.5,1.8,.265,0.1,0.5,.111,0.4,1.3,.320,.279,0.5,0.5,.900,0.7,0.9,1.6,0.3,0.4,0.2,0.3,0.8,1.5
74,Chaundee Brown Jr.\brownch05,SG-SF,23,TOT,5,2,20.8,2.0,6.4,.313,1.2,3.6,.333,0.8,2.8,.286,.406,1.0,1.2,.833,0.2,3.0,3.2,0.8,0.4,0.0,0.2,1.4,6.2
74,Chaundee Brown Jr.\brownch05,SF,23,LAL,2,0,10.5,0.5,3.5,.143,0.0,1.5,.000,0.5,2.0,.250,.143,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0
74,Chaundee Brown Jr.\brownch05,SG,23,ATL,3,2,27.7,3.0,8.3,.360,2.0,5.0,.400,1.0,3.3,.300,.480,1.7,2.0,.833,0.3,4.3,4.7,1.3,0.7,0.0,0.0,2.3,9.7
75,Greg Brown III\browngr01,SF,20,POR,44,3,12.5,1.6,3.8,.428,0.4,1.1,.320,1.3,2.6,.474,.476,0.9,1.4,.656,0.8,1.9,2.7,0.6,0.5,0.5,0.6,1.8,4.5
76,Jaylen Brown\brownja02,SF,25,BOS,63,63,33.7,8.7,18.4,.474,2.5,7.1,.360,6.2,11.3,.545,.543,3.7,4.8,.767,0.8,5.3,6.1,3.4,1.0,0.3,2.7,2.4,23.7
77,Moses Brown\brownmo01,C,22,TOT,37,5,8.2,1.5,2.6,.579,0.0,0.0,,1.5,2.6,.579,.579,1.1,1.8,.603,0.9,2.4,3.3,0.0,0.2,0.4,0.5,1.3,4.1
77,Moses Brown\brownmo01,C,22,DAL,26,1,6.5,1.0,1.9,.540,0.0,0.0,,1.0,1.9,.540,.540,1.0,1.7,.628,0.6,1.7,2.3,0.0,0.1,0.3,0.5,1.1,3.1
77,Moses Brown\brownmo01,C,22,CLE,11,4,12.3,2.5,4.1,.622,0.0,0.0,,2.5,4.1,.622,.622,1.3,2.3,.560,1.6,3.8,5.5,0.0,0.3,0.5,0.4,1.7,6.4
78,Sterling Brown\brownst02,SG,26,DAL,48,3,12.8,1.2,3.1,.376,0.6,1.9,.303,0.6,1.3,.483,.466,0.3,0.3,.933,0.5,2.5,3.0,0.7,0.3,0.1,0.5,1.1,3.2
79,Troy Brown Jr.\browntr01,SF,22,CHI,62,6,15.9,1.6,3.8,.415,0.7,2.0,.347,0.9,1.9,.487,.504,0.3,0.4,.760,0.6,2.4,3.0,0.9,0.5,0.1,0.4,1.0,4.1
80,Jalen Brunson\brunsja01,PG,25,DAL,76,58,32.1,6.4,12.8,.501,1.2,3.2,.371,5.3,9.7,.544,.547,2.2,2.6,.841,0.5,3.3,3.9,4.8,0.9,0.0,1.6,1.9,16.2
81,Thomas Bryant\bryanth01,C,24,WAS,25,9,16.4,3.0,5.7,.535,0.5,1.6,.300,2.6,4.1,.627,.577,1.4,1.6,.875,1.0,2.8,3.8,0.9,0.2,0.7,0.7,1.6,8.0
82,Shaq Buchanan\buchash01,PG,25,MEM,2,0,5.0,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,0.0,1.0,0.5,1.0
83,Reggie Bullock\bullore01,SF,30,DAL,65,34,28.0,3.0,7.4,.404,2.1,5.8,.360,0.9,1.6,.562,.545,0.6,0.7,.830,0.5,3.1,3.6,1.2,0.6,0.2,0.6,1.6,8.7
84,Trey Burke\burketr01,PG,29,DAL,39,0,10.7,2.1,5.3,.395,0.6,2.1,.313,1.4,3.2,.448,.456,0.5,0.6,.870,0.1,0.7,0.8,1.3,0.3,0.0,0.7,0.9,5.3
85,Alec Burks\burksal01,SG,30,NYK,78,41,28.3,3.5,8.9,.391,1.9,4.8,.402,1.6,4.2,.378,.499,2.7,3.2,.825,0.6,4.3,4.9,2.9,1.1,0.3,1.0,2.6,11.6
86,Jared Butler\butleja02,SG,21,UTA,39,1,7.8,1.4,3.4,.420,0.7,1.9,.347,0.7,1.4,.518,.519,0.2,0.3,.583,0.1,0.8,0.9,1.3,0.3,0.2,0.8,1.1,3.7
87,Jimmy Butler\butleji01,SF,32,MIA,55,55,33.8,7.0,14.6,.478,0.5,2.0,.227,6.5,12.6,.517,.493,6.9,7.9,.871,1.8,4.1,5.9,5.5,1.7,0.5,2.1,1.5,21.3
88,Devontae Cacok\cacokde01,PF,25,SAS,12,0,7.8,1.6,2.3,.704,0.0,0.0,,1.6,2.3,.704,.704,0.3,0.6,.571,0.6,2.5,3.1,0.4,0.6,0.6,0.2,1.0,3.5
89,Kentavious Caldwell-Pope\caldwke01,SG,28,WAS,75,75,30.3,4.7,10.8,.433,2.1,5.3,.393,2.6,5.5,.473,.530,1.8,2.1,.890,0.5,2.9,3.4,1.9,1.1,0.3,1.2,1.8,13.3
90,Facundo Campazzo\campafa01,PG,30,DEN,63,4,18.6,1.7,4.6,.364,0.9,3.0,.302,0.8,1.6,.480,.462,1.0,1.2,.769,0.4,1.5,1.9,3.4,1.0,0.4,1.0,2.0,5.2
